part,subcat,sample_id,subset,class,target_path,best_iou,reason
A,A.1 scale&geometry,letters_lower_l_dejavusans-bold,letters_lower,l,targets/letters_lower/l_dejavusans-bold.png,0.7675,lowest aspect_ratio 0.23 (most elongated)
A,A.1 scale&geometry,letters_upper_V_dejavusansmono-bold,letters_upper,V,targets/letters_upper/V_dejavusansmono-bold.png,0.7482,deepest convexity defect 0.47
A,A.1 scale&geometry,letters_lower_o_dejavusans-bold,letters_lower,o,targets/letters_lower/o_dejavusans-bold.png,0.7294,lowest compactness 1.42 (most disc-like)
A,A.1 scale&geometry,letters_upper_X_dejavuserif-bold,letters_upper,X,targets/letters_upper/X_dejavuserif-bold.png,0.5557,lowest solidity 0.45 (most concave)
A,A.1 scale&geometry,letters_upper_M_dejavuserif-bold,letters_upper,M,targets/letters_upper/M_dejavuserif-bold.png,0.4809,highest compactness 10.27 (most perimeter-costly)
A,A.2 thinness,letters_lower_r_dejavusans-bold,letters_lower,r,targets/letters_lower/r_dejavusans-bold.png,0.7987,lowest thin_mass_frac 0.42 (blobbiest stroke)
A,A.2 thinness,letters_lower_x_dejavusans-bold,letters_lower,x,targets/letters_lower/x_dejavusans-bold.png,0.6259,lowest stroke_width_ratio 0.21 (uneven stroke width)
A,A.2 thinness,letters_lower_j_dejavusansmono-bold,letters_lower,j,targets/letters_lower/j_dejavusansmono-bold.png,0.5886,highest thin_mass_frac 0.82 (thinnest overall)
A,A.2 thinness,letters_lower_m_dejavuserif-bold,letters_lower,m,targets/letters_lower/m_dejavuserif-bold.png,0.5347,narrowest neck 0.014 (closest to splitting apart)
A,A.3 topology,letters_upper_L_dejavusans-bold,letters_upper,L,targets/letters_upper/L_dejavusans-bold.png,0.7993,"no holes at all (open stroke), best IoU among those 0.80"
A,A.3 topology,letters_upper_B_dejavusans-bold,letters_upper,B,targets/letters_upper/B_dejavusans-bold.png,0.6912,most significant holes n=2
A,A.3 topology,letters_upper_O_dejavuserif-bold,letters_upper,O,targets/letters_upper/O_dejavuserif-bold.png,0.6515,"largest single hole, 0.68 of shape area"
A,A.3 topology,letters_upper_Z_dejavuserif-bold,letters_upper,Z,targets/letters_upper/Z_dejavuserif-bold.png,0.6282,most pockets/concavities n=93
A,A.4 structure,letters_upper_I_dejavusans-bold,letters_upper,I,targets/letters_upper/I_dejavusans-bold.png,0.791,"most vertically symmetric, sym_v=1.00"
A,A.4 structure,letters_upper_Y_dejavusansmono-bold,letters_upper,Y,targets/letters_upper/Y_dejavusansmono-bold.png,0.7468,"least vertically symmetric, sym_v=0.16"
A,A.4 structure,letters_upper_O_dejavusans-bold,letters_upper,O,targets/letters_upper/O_dejavusans-bold.png,0.7018,"most boundary detail, contour_hf_energy=0.56"
A,A.4 structure,letters_upper_H_dejavuserif-bold,letters_upper,H,targets/letters_upper/H_dejavuserif-bold.png,0.5804,most limbs (skeleton endpoints) n=8
B,B.1 overlap,letters_upper_L_dejavusans-bold,letters_upper,L,targets/letters_upper/L_dejavusans-bold.png,0.7993,highest IoU 0.80
B,B.1 overlap,letters_upper_M_dejavuserif-bold,letters_upper,M,targets/letters_upper/M_dejavuserif-bold.png,0.4809,lowest IoU 0.48
B,B.2 boundary,letters_lower_u_dejavusansmono-bold,letters_lower,u,targets/letters_lower/u_dejavusansmono-bold.png,0.728,IoU 0.73 but boundary_iou 0.22 (outline wrong under a fine-looking IoU)
B,B.2 boundary,digits_1_dejavusans-bold,digits,1,targets/digits/1_dejavusans-bold.png,0.6975,IoU 0.70 but boundary_iou 0.21 (outline wrong under a fine-looking IoU)
B,B.3 thin structure,digits_1_dejavuserif-bold,digits,1,targets/digits/1_dejavuserif-bold.png,0.7496,IoU 0.75 but cldice 0.82 (stroke skeleton lost)
B,B.3 thin structure,letters_lower_t_dejavuserif-bold,letters_lower,t,targets/letters_lower/t_dejavuserif-bold.png,0.7332,IoU 0.73 but cldice 0.80 (stroke skeleton lost)
