part,subcat,sample_id,subset,class,target_path,best_iou,reason
A,A.1 scale&geometry,abstract_device9_mpeg7-04,abstract,device9,targets/abstract/device9_mpeg7-04.png,0.691,deepest convexity defect 0.54
A,A.1 scale&geometry,abstract_device3_mpeg7-01,abstract,device3,targets/abstract/device3_mpeg7-01.png,0.6587,lowest compactness 1.21 (most disc-like)
A,A.1 scale&geometry,abstract_device6_mpeg7-02,abstract,device6,targets/abstract/device6_mpeg7-02.png,0.3885,highest compactness 34.70 (most perimeter-costly)
A,A.1 scale&geometry,objects_pencil_mpeg7-02,objects,pencil,targets/objects/pencil_mpeg7-02.png,0.3258,lowest aspect_ratio 0.09 (most elongated)
A,A.1 scale&geometry,animals_dog_mpeg7-03,animals,dog,targets/animals/dog_mpeg7-03.png,0.3107,lowest solidity 0.29 (most concave)
A,A.2 thinness,abstract_device1_mpeg7-02,abstract,device1,targets/abstract/device1_mpeg7-02.png,0.7343,lowest stroke_width_ratio 0.03 (fat torso + thin legs)
A,A.2 thinness,animals_butterfly_mpeg7-03,animals,butterfly,targets/animals/butterfly_mpeg7-03.png,0.6994,narrowest neck 0.003 (closest to splitting apart)
A,A.2 thinness,objects_pocket_mpeg7-05,objects,pocket,targets/objects/pocket_mpeg7-05.png,0.461,highest thin_mass_frac 1.00 (thinnest overall)
A,A.3 topology,animals_frog_mpeg7-05,animals,frog,targets/animals/frog_mpeg7-05.png,0.6393,most near-separable parts n=7
A,A.3 topology,abstract_device5_mpeg7-03,abstract,device5,targets/abstract/device5_mpeg7-03.png,0.6062,most pockets/concavities n=162
A,A.3 topology,animals_butterfly_mpeg7-01,animals,butterfly,targets/animals/butterfly_mpeg7-01.png,0.6034,most significant holes n=19
A,A.3 topology,objects_guitar_mpeg7-03,objects,guitar,targets/objects/guitar_mpeg7-03.png,0.3251,"largest single hole, 1.11 of shape area"
