condition,id,subset,label,gold_class,rank,top1,rr,pred
small-n3,digits_0_dejavusans-bold,digits,0,0,48,0,0.020833333333333332,q
small-n3,digits_0_dejavusansmono-bold,digits,0,0,49,0,0.02040816326530612,i
small-n3,digits_0_dejavuserif-bold,digits,0,0,49,0,0.02040816326530612,i
small-n3,digits_1_dejavusans-bold,digits,1,1,11,0,0.09090909090909091,Y
small-n3,digits_1_dejavusansmono-bold,digits,1,1,21,0,0.047619047619047616,L
small-n3,digits_1_dejavuserif-bold,digits,1,1,43,0,0.023255813953488372,L
small-n3,digits_2_dejavusans-bold,digits,2,2,45,0,0.022222222222222223,Y
small-n3,digits_2_dejavusansmono-bold,digits,2,2,25,0,0.04,Y
small-n3,digits_2_dejavuserif-bold,digits,2,2,43,0,0.023255813953488372,L
small-n3,digits_3_dejavusans-bold,digits,3,3,46,0,0.021739130434782608,A
small-n3,digits_3_dejavusansmono-bold,digits,3,3,37,0,0.02702702702702703,Y
small-n3,digits_3_dejavuserif-bold,digits,3,3,48,0,0.020833333333333332,J
small-n3,digits_4_dejavusans-bold,digits,4,4,4,0,0.25,J
small-n3,digits_4_dejavusansmono-bold,digits,4,4,24,0,0.041666666666666664,A
small-n3,digits_4_dejavuserif-bold,digits,4,4,31,0,0.03225806451612903,q
small-n3,digits_5_dejavusans-bold,digits,5,5,48,0,0.020833333333333332,J
small-n3,digits_5_dejavusansmono-bold,digits,5,5,47,0,0.02127659574468085,A
small-n3,digits_5_dejavuserif-bold,digits,5,5,48,0,0.020833333333333332,Z
small-n3,digits_6_dejavusans-bold,digits,6,6,23,0,0.043478260869565216,7
small-n3,digits_6_dejavusansmono-bold,digits,6,6,39,0,0.02564102564102564,J
small-n3,digits_6_dejavuserif-bold,digits,6,6,32,0,0.03125,L
small-n3,digits_7_dejavusans-bold,digits,7,7,45,0,0.022222222222222223,Y
small-n3,digits_7_dejavusansmono-bold,digits,7,7,43,0,0.023255813953488372,Y
small-n3,digits_7_dejavuserif-bold,digits,7,7,43,0,0.023255813953488372,Y
small-n3,digits_8_dejavusans-bold,digits,8,8,39,0,0.02564102564102564,F
small-n3,digits_8_dejavusansmono-bold,digits,8,8,39,0,0.02564102564102564,i
small-n3,digits_8_dejavuserif-bold,digits,8,8,13,0,0.07692307692307693,y
small-n3,digits_9_dejavusans-bold,digits,9,q,17,0,0.058823529411764705,A
small-n3,digits_9_dejavusansmono-bold,digits,9,q,22,0,0.045454545454545456,J
small-n3,digits_9_dejavuserif-bold,digits,9,q,25,0,0.04,L
small-n3,letters_lower_a_dejavusans-bold,letters_lower,a,a,7,0,0.14285714285714285,4
small-n3,letters_lower_a_dejavusansmono-bold,letters_lower,a,a,11,0,0.09090909090909091,D
small-n3,letters_lower_a_dejavuserif-bold,letters_lower,a,a,5,0,0.2,J
small-n3,letters_lower_b_dejavusans-bold,letters_lower,b,b,43,0,0.023255813953488372,Y
small-n3,letters_lower_b_dejavusansmono-bold,letters_lower,b,b,27,0,0.037037037037037035,L
small-n3,letters_lower_b_dejavuserif-bold,letters_lower,b,b,31,0,0.03225806451612903,A
small-n3,letters_lower_c_dejavusans-bold,letters_lower,c,C,29,0,0.034482758620689655,J
small-n3,letters_lower_c_dejavusansmono-bold,letters_lower,c,C,13,0,0.07692307692307693,J
small-n3,letters_lower_c_dejavuserif-bold,letters_lower,c,C,19,0,0.05263157894736842,j
small-n3,letters_lower_d_dejavusans-bold,letters_lower,d,d,6,0,0.16666666666666666,Q
small-n3,letters_lower_d_dejavusansmono-bold,letters_lower,d,d,7,0,0.14285714285714285,q
small-n3,letters_lower_d_dejavuserif-bold,letters_lower,d,d,11,0,0.09090909090909091,Q
small-n3,letters_lower_e_dejavusans-bold,letters_lower,e,e,33,0,0.030303030303030304,M
small-n3,letters_lower_e_dejavusansmono-bold,letters_lower,e,e,25,0,0.04,J
small-n3,letters_lower_e_dejavuserif-bold,letters_lower,e,e,46,0,0.021739130434782608,V
small-n3,letters_lower_f_dejavusans-bold,letters_lower,f,f,6,0,0.16666666666666666,L
small-n3,letters_lower_f_dejavusansmono-bold,letters_lower,f,f,38,0,0.02631578947368421,Y
small-n3,letters_lower_f_dejavuserif-bold,letters_lower,f,f,25,0,0.04,L
small-n3,letters_lower_g_dejavusans-bold,letters_lower,g,g,14,0,0.07142857142857142,D
small-n3,letters_lower_g_dejavusansmono-bold,letters_lower,g,g,32,0,0.03125,D
small-n3,letters_lower_g_dejavuserif-bold,letters_lower,g,g,40,0,0.025,Y
small-n3,letters_lower_h_dejavusans-bold,letters_lower,h,h,41,0,0.024390243902439025,1
small-n3,letters_lower_h_dejavusansmono-bold,letters_lower,h,h,9,0,0.1111111111111111,L
small-n3,letters_lower_h_dejavuserif-bold,letters_lower,h,h,33,0,0.030303030303030304,n
small-n3,letters_lower_i_dejavusans-bold,letters_lower,i,i,4,0,0.25,L
small-n3,letters_lower_i_dejavusansmono-bold,letters_lower,i,i,9,0,0.1111111111111111,J
small-n3,letters_lower_i_dejavuserif-bold,letters_lower,i,i,2,0,0.5,L
