condition,budget,n_robots,id,subset,best_iou,best_iou_vs_original,mean_iou,mean_iou_vs_original,std_iou,min_iou,n_runs,seconds
big-n3,big,3,digits_0_dejavusans-bold,digits,0.8299,0.8299,0.7971,0.7971,0.0199,0.7693,5,60.3
big-n3,big,3,digits_0_dejavusansmono-bold,digits,0.7971,0.7971,0.7633,0.7633,0.0223,0.7287,5,59.5
big-n3,big,3,digits_0_dejavuserif-bold,digits,0.8018,0.8018,0.7657,0.7657,0.0387,0.7009,5,58.8
big-n3,big,3,digits_1_dejavusans-bold,digits,0.8209,0.8209,0.7912,0.7912,0.023,0.7578,5,60.2
big-n3,big,3,digits_1_dejavusansmono-bold,digits,0.8016,0.8016,0.7856,0.7856,0.0168,0.7552,5,60.1
big-n3,big,3,digits_1_dejavuserif-bold,digits,0.8404,0.8404,0.806,0.806,0.0194,0.7878,5,59.8
big-n3,big,3,digits_2_dejavusans-bold,digits,0.6584,0.6584,0.645,0.645,0.0171,0.6128,5,57.9
big-n3,big,3,digits_2_dejavusansmono-bold,digits,0.7271,0.7271,0.6864,0.6864,0.0407,0.615,5,58.5
big-n3,big,3,digits_2_dejavuserif-bold,digits,0.6954,0.6954,0.6449,0.6449,0.0354,0.5896,5,56.7
big-n3,big,3,digits_3_dejavusans-bold,digits,0.6711,0.6711,0.6422,0.6422,0.0184,0.6223,5,58.3
big-n3,big,3,digits_3_dejavusansmono-bold,digits,0.6639,0.6639,0.6289,0.6289,0.0292,0.5763,5,57.3
big-n3,big,3,digits_3_dejavuserif-bold,digits,0.6223,0.6223,0.5971,0.5971,0.0225,0.5684,5,57.0
big-n3,big,3,digits_4_dejavusans-bold,digits,0.7148,0.7148,0.6683,0.6683,0.0242,0.6446,5,56.8
big-n3,big,3,digits_4_dejavusansmono-bold,digits,0.6978,0.6978,0.6849,0.6849,0.0177,0.6497,5,57.6
big-n3,big,3,digits_4_dejavuserif-bold,digits,0.6739,0.6739,0.6452,0.6452,0.0171,0.62,5,56.5
big-n3,big,3,digits_5_dejavusans-bold,digits,0.6831,0.6831,0.6449,0.6449,0.028,0.6161,5,57.2
big-n3,big,3,digits_5_dejavusansmono-bold,digits,0.6896,0.6896,0.6556,0.6556,0.0282,0.6056,5,57.5
big-n3,big,3,digits_5_dejavuserif-bold,digits,0.6147,0.6147,0.5757,0.5757,0.0292,0.5267,5,58.2
big-n3,big,3,digits_6_dejavusans-bold,digits,0.7679,0.7679,0.7246,0.7246,0.0541,0.6205,5,56.9
big-n3,big,3,digits_6_dejavusansmono-bold,digits,0.7911,0.7911,0.7577,0.7577,0.0205,0.7285,5,56.9
big-n3,big,3,digits_6_dejavuserif-bold,digits,0.7485,0.7485,0.7126,0.7126,0.0215,0.6816,5,57.8
big-n3,big,3,digits_7_dejavusans-bold,digits,0.8184,0.8184,0.7895,0.7895,0.0346,0.7236,5,56.3
big-n3,big,3,digits_7_dejavusansmono-bold,digits,0.7873,0.7873,0.7499,0.7499,0.031,0.6965,5,55.9
big-n3,big,3,digits_7_dejavuserif-bold,digits,0.6184,0.6184,0.5843,0.5843,0.0243,0.5464,5,56.6
big-n3,big,3,digits_8_dejavusans-bold,digits,0.762,0.762,0.7269,0.7269,0.0328,0.6753,5,56.1
big-n3,big,3,digits_8_dejavusansmono-bold,digits,0.7577,0.7577,0.7102,0.7102,0.0309,0.6627,5,56.5
big-n3,big,3,digits_8_dejavuserif-bold,digits,0.7247,0.7247,0.6967,0.6967,0.0304,0.6589,5,57.8
big-n3,big,3,digits_9_dejavusans-bold,digits,0.7426,0.7426,0.7332,0.7332,0.009,0.7216,5,57.4
big-n3,big,3,digits_9_dejavusansmono-bold,digits,0.7416,0.7416,0.7218,0.7218,0.0132,0.7017,5,56.5
big-n3,big,3,digits_9_dejavuserif-bold,digits,0.7188,0.7188,0.692,0.692,0.0196,0.6644,5,55.9
big-n3,big,3,letters_lower_a_dejavusans-bold,letters_lower,0.7147,0.7147,0.6935,0.6935,0.0214,0.6641,5,56.8
big-n3,big,3,letters_lower_a_dejavusansmono-bold,letters_lower,0.7044,0.7044,0.6515,0.6515,0.0505,0.5551,5,56.3
big-n3,big,3,letters_lower_a_dejavuserif-bold,letters_lower,0.7513,0.7513,0.7127,0.7127,0.024,0.6873,5,56.5
big-n3,big,3,letters_lower_b_dejavusans-bold,letters_lower,0.8079,0.8079,0.7747,0.7747,0.0239,0.7369,5,55.4
big-n3,big,3,letters_lower_b_dejavusansmono-bold,letters_lower,0.8078,0.8078,0.7862,0.7862,0.0148,0.7616,5,56.3
big-n3,big,3,letters_lower_b_dejavuserif-bold,letters_lower,0.7747,0.7747,0.7556,0.7556,0.0207,0.7164,5,55.6
big-n3,big,3,letters_lower_c_dejavusans-bold,letters_lower,0.788,0.788,0.7405,0.7405,0.0373,0.6769,5,56.0
big-n3,big,3,letters_lower_c_dejavusansmono-bold,letters_lower,0.7949,0.7949,0.7602,0.7602,0.0229,0.7254,5,56.7
big-n3,big,3,letters_lower_c_dejavuserif-bold,letters_lower,0.725,0.725,0.679,0.679,0.0272,0.6457,5,56.6
big-n3,big,3,letters_lower_d_dejavusans-bold,letters_lower,0.7641,0.7641,0.7299,0.7299,0.028,0.6991,5,55.7
big-n3,big,3,letters_lower_d_dejavusansmono-bold,letters_lower,0.7871,0.7871,0.7514,0.7514,0.0286,0.7073,5,56.1
big-n3,big,3,letters_lower_d_dejavuserif-bold,letters_lower,0.718,0.718,0.7003,0.7003,0.0105,0.6888,5,55.9
big-n3,big,3,letters_lower_e_dejavusans-bold,letters_lower,0.7358,0.7358,0.6798,0.6798,0.0356,0.6397,5,57.0
big-n3,big,3,letters_lower_e_dejavusansmono-bold,letters_lower,0.6794,0.6794,0.6463,0.6463,0.0226,0.609,5,56.5
big-n3,big,3,letters_lower_e_dejavuserif-bold,letters_lower,0.6979,0.6979,0.6591,0.6591,0.0252,0.6199,5,57.2
big-n3,big,3,letters_lower_f_dejavusans-bold,letters_lower,0.8196,0.8196,0.7978,0.7978,0.0198,0.7654,5,56.1
big-n3,big,3,letters_lower_f_dejavusansmono-bold,letters_lower,0.7559,0.7559,0.7224,0.7224,0.0276,0.6801,5,56.9
big-n3,big,3,letters_lower_f_dejavuserif-bold,letters_lower,0.776,0.776,0.759,0.759,0.0103,0.7468,5,56.3
big-n3,big,3,letters_lower_g_dejavusans-bold,letters_lower,0.745,0.745,0.7285,0.7285,0.0128,0.706,5,56.4
big-n3,big,3,letters_lower_g_dejavusansmono-bold,letters_lower,0.7758,0.7758,0.7487,0.7487,0.0163,0.7289,5,55.5
big-n3,big,3,letters_lower_g_dejavuserif-bold,letters_lower,0.7063,0.7063,0.6868,0.6868,0.0123,0.6726,5,55.9
big-n3,big,3,letters_lower_h_dejavusans-bold,letters_lower,0.7407,0.7407,0.703,0.703,0.039,0.6281,5,56.3
big-n3,big,3,letters_lower_h_dejavusansmono-bold,letters_lower,0.7834,0.7834,0.7334,0.7334,0.0274,0.7028,5,54.9
big-n3,big,3,letters_lower_h_dejavuserif-bold,letters_lower,0.7554,0.7554,0.7167,0.7167,0.0289,0.676,5,55.8
big-n3,big,3,letters_lower_i_dejavusans-bold,letters_lower,0.7797,0.7797,0.7563,0.7563,0.0173,0.7313,5,57.9
big-n3,big,3,letters_lower_i_dejavusansmono-bold,letters_lower,0.7113,0.7113,0.6843,0.6843,0.022,0.651,5,57.6
big-n3,big,3,letters_lower_i_dejavuserif-bold,letters_lower,0.7701,0.7701,0.7558,0.7558,0.014,0.7292,5,58.0
big-n3,big,3,letters_lower_j_dejavusans-bold,letters_lower,0.7378,0.7378,0.6885,0.6885,0.0514,0.6029,5,59.0
big-n3,big,3,letters_lower_j_dejavusansmono-bold,letters_lower,0.6493,0.6493,0.6102,0.6102,0.0289,0.5667,5,57.7
big-n3,big,3,letters_lower_j_dejavuserif-bold,letters_lower,0.7315,0.7315,0.6967,0.6967,0.0196,0.6748,5,57.3
big-n3,big,3,letters_lower_k_dejavusans-bold,letters_lower,0.7407,0.7407,0.7158,0.7158,0.0178,0.6896,5,58.1
big-n3,big,3,letters_lower_k_dejavusansmono-bold,letters_lower,0.7457,0.7457,0.7189,0.7189,0.0211,0.6987,5,57.0
